GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Student Project,edu.pdx.cs410J.whitlock,Student,33,290,1,45,15,75,1,32,0,9
Student Project,edu.pdx.cs410J.whitlock,Gender,0,34,0,0,0,2,0,1,0,1
